,date,5DMA,25DMA,75DMA,100DMA,200DMA,5DVMA,25DVMA,75DVMA
199,2021/8/31,9276,9330,9423.73,9395.8,9029.35,343920,376344,372936
200,2021/8/30,9204,9330.4,9419.6,9400.8,9016.65,331700,371272,371969
201,2021/8/27,9104,9320.4,9414.53,9404.5,9003.6,394700,374132,374800
202,2021/8/26,8982,9307.2,9411.47,9410.5,8991.4,516700,380736,377616
203,2021/8/25,8962,9296,9408.67,9417.2,8978.85,583800,380504,378017
204,2021/8/24,9026,9294,9406.4,9424.8,8967.5,531820,375868,374936
205,2021/8/23,9100,9303.2,9408.8,9435,8955.8,512800,371852,378901
206,2021/8/20,9192,9318.4,9406.4,9443.8,8944.35,440940,361760,381446
207,2021/8/19,9390,9351.2,9411.73,9454.2,8934.75,337380,347372,382358
208,2021/8/18,9494,9362.8,9411.07,9461.5,8923.1,263860,338200,377470
209,2021/8/17,9524,9352.8,9406.93,9466.2,8909,275480,345764,377144
210,2021/8/16,9566,9350,9404.93,9475.4,8896.35,287100,352736,376312
211,2021/8/13,9578,9345.6,9403.73,9482.3,8882.9,273940,358064,375797
212,2021/8/12,9542,9339.2,9397.33,9485.9,8868.75,239220,354036,375762
213,2021/8/11,9518,9333.2,9394.4,9488.6,8854.3,235840,351796,376860
214,2021/8/10,9516,9332,9393.87,9492.5,8840.25,265740,353588,375113
215,2021/8/6,9550,9335.2,9394.27,9497.8,8827.1,327020,352624,374066
216,2021/8/5,9488,9341.6,9395.47,9502.8,8814.1,441840,361816,375069
217,2021/8/4,9438,9352,9395.87,9508.7,8801.05,484200,372412,378761
218,2021/8/3,9368,9365.6,9395.6,9511.4,8787.45,491620,379808,381208
219,2021/8/2,9308,9379.2,9391.87,9509.6,8774.15,464760,381608,381706
220,2021/7/30,9232,9383.6,9388.93,9507,8760.4,397740,370008,379092
221,2021/7/29,9240,9407.2,9395.6,9510.9,8748.7,319240,359000,373508
222,2021/7/28,9184,9426.4,9402.4,9511.7,8736.6,326180,366416,374077
223,2021/7/27,9138,9433.6,9408.93,9511.4,8724.2,327400,374848,375684
224,2021/7/26,9096,9445.6,9417.73,9510,8710.75,341540,394300,375532
225,2021/7/21,9068,9466,9424.27,9508,8697.45,334600,397148,374453
226,2021/7/20,9094,9492.4,9432.53,9510.8,8685.2,332840,396264,375054
